seed,model,score
10,mlp,0.7823880910873413
11,mlp,0.7902685403823853
12,mlp,0.7924380302429199
13,mlp,0.7780207991600037
14,mlp,0.7963462471961975
10,neumiss,0.7741125226020813
11,neumiss,0.780865490436554
12,neumiss,0.7797820568084717
13,neumiss,0.773819088935852
14,neumiss,0.7717011570930481
10,gbt,0.8024522256445867
11,gbt,0.7989741758160438
12,gbt,0.8035795745979422
13,gbt,0.8039271083318397
14,gbt,0.8083746101963213
10,supmiwae,0.7906888127326965
11,supmiwae,0.7914814352989197
12,supmiwae,0.7946591377258301
13,supmiwae,0.7821767330169678
14,supmiwae,0.7883260250091553
10,supnotmiwae,0.7820217609405518
11,supnotmiwae,0.7829813361167908
12,supnotmiwae,0.7808342576026917
13,supnotmiwae,0.7822684049606323
14,supnotmiwae,0.7811790704727173
