seed,model,score
10,mlp,0.7998851537704468
11,mlp,0.8068172931671143
12,mlp,0.8027496337890625
13,mlp,0.8059418797492981
14,mlp,0.8048123717308044
10,neumiss,0.7879478931427002
11,neumiss,0.7961827516555786
12,neumiss,0.7929722666740417
13,neumiss,0.7973758578300476
14,neumiss,0.7972847819328308
10,gbt,0.8190025486085418
11,gbt,0.8189609748988218
12,gbt,0.8187587117942279
13,gbt,0.8144798895353834
14,gbt,0.8162348606299772
10,supmiwae,0.8039962649345398
11,supmiwae,0.7797573804855347
12,supmiwae,0.7799410223960876
13,supmiwae,0.7927027344703674
14,supmiwae,0.7951191663742065
10,supnotmiwae,0.7993003129959106
11,supnotmiwae,0.8034423589706421
12,supnotmiwae,0.7882500886917114
13,supnotmiwae,0.8055331707000732
14,supnotmiwae,0.8048908710479736
